zfish_symbol	human_symbol	orthology_type	confidence	n_human_partners
acad11	ACAD11	ortholog_one2one	1	1
acad8	ACAD8	ortholog_one2one	1	1
acad9	ACAD9	ortholog_one2one	1	1
acadl	ACADL	ortholog_one2one	1	1
acadm	ACADM	ortholog_one2one	1	1
acads	ACADS	ortholog_one2one	1	1
acadsb	ACADSB	ortholog_one2many	1	1
acadvl	ACADVL	ortholog_one2one	1	1
acap1	ACAP1	ortholog_one2one	1	1
acap3b	ACAP3	ortholog_one2many	1	1
acat1	ACAT1	ortholog_one2one	1	1
acat2	ACAT2	ortholog_one2one	1	1
acbd3	ACBD3	ortholog_one2one	1	1
acbd4	ACBD4	ortholog_one2one	0	1
acbd5a	ACBD5	ortholog_one2many	0	1
acbd5b	ACBD5	ortholog_one2many	0	1
acbd6	ACBD6	ortholog_one2one	1	1
acbd7	ACBD7	ortholog_one2one	1	1
accs	ACCS	ortholog_one2one	0	1
acd	ACD	ortholog_one2one	0	1
ace2	ACE2	ortholog_one2one	1	1
acer1	ACER1	ortholog_one2one	1	1
acer3	ACER3	ortholog_one2one	1	1
ache	ACHE	ortholog_one2one	1	1
acin1b	ACIN1	ortholog_one2many	0	1
ackr3b	ACKR3	ortholog_one2many	1	1
aclya	ACLY	ortholog_one2many	1	1
acmsd	ACMSD	ortholog_one2one	1	1
aco1	ACO1	ortholog_one2one	1	1
aco2	ACO2	ortholog_one2one	1	1
acot11a	ACOT11	ortholog_one2many	1	1
acot11b	ACOT11	ortholog_one2many	1	1
acot13	ACOT13	ortholog_one2one	1	1
acot7	ACOT7	ortholog_one2one	1	1
acot8	ACOT8	ortholog_one2one	1	1
acot9.1	ACOT9	ortholog_one2many	1	1
acot9.2	ACOT9	ortholog_one2many	1	1
acox1	ACOX1	ortholog_one2one	1	1
acox3	ACOX3	ortholog_one2one	1	1
acp2	ACP2	ortholog_one2one	1	1
acp5a	ACP5	ortholog_one2one	1	1
acp6	ACP6	ortholog_one2one	1	1
acsbg2	ACSBG2	ortholog_one2one	1	1
acsf2	ACSF2	ortholog_one2one	1	1
acsl1a	ACSL1	ortholog_one2many	1	1
acsl1b	ACSL1	ortholog_one2many	0	1
acsl3b	ACSL3	ortholog_one2one	1	1
acsl4a	ACSL4	ortholog_one2many	1	1
acsl4b	ACSL4	ortholog_one2many	1	1
acsl5	ACSL5	ortholog_one2one	1	1
acsm3	ACSM3	ortholog_one2one	1	1
acss1	ACSS1	ortholog_one2one	1	1
acss2	ACSS2	ortholog_one2one	1	1
acss2l	ACSM1	ortholog_one2many	0	6
acss2l	ACSM2A	ortholog_one2many	0	6
acss2l	ACSM2B	ortholog_one2many	0	6
acss2l	ACSM4	ortholog_one2many	0	6
acss2l	ACSM5	ortholog_one2many	0	6
acss2l	ACSM6	ortholog_one2many	0	6
acta1a	ACTA1	ortholog_one2many	1	1
acta1b	ACTA1	ortholog_one2many	1	1
actb1	ACTB	ortholog_one2many	1	1
actb2	ACTB	ortholog_one2many	1	1
actc1a	ACTA1	ortholog_one2many	0	1
actl6a	ACTL6A	ortholog_one2one	1	1
actl6b	ACTL6B	ortholog_one2one	1	1
actn1	ACTN1	ortholog_one2one	1	1
actn2b	ACTN2	ortholog_one2one	0	1
actn3a	ACTN3	ortholog_one2many	1	1
actn3b	ACTN3	ortholog_one2many	1	1
actr10	ACTR10	ortholog_one2one	1	1
actr2a	ACTR2	ortholog_one2many	1	1
actr2b	ACTR2	ortholog_one2many	0	1
actr3	ACTR3	ortholog_one2one	0	1
actr3b	ACTR3B	ortholog_one2many	1	2
actr3b	ACTR3C	ortholog_one2many	1	2
actr5	ACTR5	ortholog_one2one	1	1
actr6	ACTR6	ortholog_one2one	1	1
actr8	ACTR8	ortholog_one2one	1	1
acvr1ba	ACVR1B	ortholog_one2many	1	1
acvr1l	ACVRL1	ortholog_one2many	1	1
acvr2aa	ACVR2A	ortholog_one2many	1	1
acvrl1	ACVRL1	ortholog_one2many	1	1
acy1	ACY1	ortholog_one2many	1	1
acy3.1	ACY3	ortholog_one2many	0	1
acy3.2	ACY3	ortholog_one2many	0	1
ada	ADA	ortholog_one2one	1	1
adad1	ADAD1	ortholog_one2one	1	1
adam10a	ADAM10	ortholog_many2many	1	10
adam10a	ADAM18	ortholog_many2many	0	10
adam10a	ADAM2	ortholog_many2many	0	10
adam10a	ADAM20	ortholog_many2many	0	10
adam10a	ADAM21	ortholog_many2many	0	10
adam10a	ADAM29	ortholog_many2many	0	10
adam10a	ADAM30	ortholog_many2many	0	10
adam10a	ADAM32	ortholog_many2many	0	10
adam10a	ADAM7	ortholog_many2many	0	10
adam10a	ADAMDEC1	ortholog_many2many	0	10
adam10b	ADAM10	ortholog_many2many	1	10
adam10b	ADAM18	ortholog_many2many	0	10
adam10b	ADAM2	ortholog_many2many	0	10
adam10b	ADAM20	ortholog_many2many	0	10
adam10b	ADAM21	ortholog_many2many	0	10
adam10b	ADAM29	ortholog_many2many	0	10
adam10b	ADAM30	ortholog_many2many	0	10
adam10b	ADAM32	ortholog_many2many	0	10
adam10b	ADAM7	ortholog_many2many	0	10
adam10b	ADAMDEC1	ortholog_many2many	0	10
adam17a	ADAM17	ortholog_one2many	1	1
adam28	ADAM28	ortholog_one2one	0	1
adam8a	ADAM8	ortholog_one2many	0	1
adamts10	ADAMTS10	ortholog_one2one	1	1
adamts15a	ADAMTS15	ortholog_one2many	1	1
adamts3	ADAMTS3	ortholog_one2one	1	1
adamts5	ADAMTS5	ortholog_one2one	1	1
adamts9	ADAMTS9	ortholog_one2one	1	1
adar	ADAR	ortholog_one2one	0	1
adarb1a	ADARB1	ortholog_one2many	1	1
adat1	ADAT1	ortholog_one2one	1	1
adat2	ADAT2	ortholog_one2one	1	1
adat3	ADAT3	ortholog_one2one	1	1
adck1	ADCK1	ortholog_one2one	1	1
adck5	ADCK5	ortholog_one2one	1	1
adcy1a	ADCY1	ortholog_one2many	1	1
adcy1b	ADCY1	ortholog_one2many	1	1
adcy2b	ADCY2	ortholog_one2many	1	1
adcy5	ADCY5	ortholog_one2one	1	1
adcy7	ADCY7	ortholog_one2one	1	1
adcy8	ADCY8	ortholog_one2one	1	1
adcyap1b	ADCYAP1	ortholog_one2one	0	1
adcyap1r1a	ADCYAP1R1	ortholog_one2many	1	1
add1	ADD1	ortholog_one2one	1	1
add3a	ADD3	ortholog_one2many	1	1
add3b	ADD3	ortholog_one2many	1	1
adgrg1	ADGRG3	ortholog_one2many	0	1
adgrl4	ADGRL4	ortholog_one2one	1	1
adgrv1	ADGRV1	ortholog_one2one	1	1
adh8a	ADH1A	ortholog_many2many	0	7
adh8a	ADH1B	ortholog_many2many	0	7
adh8a	ADH1C	ortholog_many2many	0	7
adh8a	ADH4	ortholog_many2many	0	7
adh8a	ADH5	ortholog_many2many	0	7
adh8a	ADH6	ortholog_many2many	0	7
adh8a	ADH7	ortholog_many2many	0	7
adh8b	ADH1A	ortholog_many2many	0	7
adh8b	ADH1B	ortholog_many2many	0	7
adh8b	ADH1C	ortholog_many2many	0	7
adh8b	ADH4	ortholog_many2many	0	7
adh8b	ADH5	ortholog_many2many	0	7
adh8b	ADH6	ortholog_many2many	0	7
adh8b	ADH7	ortholog_many2many	0	7
adhfe1	ADHFE1	ortholog_one2one	1	1
adi1	ADI1	ortholog_one2one	1	1
adipoqb	ADIPOQ	ortholog_one2many	1	1
adipor1a	ADIPOR1	ortholog_one2many	1	1
adipor1b	ADIPOR1	ortholog_one2many	1	1
adipor2	ADIPOR2	ortholog_one2one	1	1
adka	ADK	ortholog_one2many	1	1
adkb	ADK	ortholog_one2many	1	1
adm2a	ADM2	ortholog_one2many	0	1
adnp2a	ADNP2	ortholog_one2many	1	1
adnp2b	ADNP2	ortholog_one2many	1	1
adnpa	ADNP	ortholog_one2many	1	1
adoa	ADO	ortholog_one2one	1	1
adora2aa	ADORA2A	ortholog_one2one	1	1
adora2b	ADORA2B	ortholog_one2one	1	1
adpgk	ADPGK	ortholog_one2one	1	1
adprh	ADPRH	ortholog_one2one	0	1
adprhl1	ADPRHL1	ortholog_one2one	0	1
adprm	ADPRM	ortholog_one2one	1	1
adra1bb	ADRA1B	ortholog_one2many	1	1
adra2a	ADRA2A	ortholog_one2one	1	1
adra2b	ADRA2B	ortholog_one2one	1	1
adra2c	ADRA2C	ortholog_one2one	1	1
adra2da	OR13F1	ortholog_many2many	0	5
adra2da	OR56A1	ortholog_many2many	0	5
adra2da	OR56A3	ortholog_many2many	0	5
adra2da	OR56A4	ortholog_many2many	0	5
adra2da	OR56A5	ortholog_many2many	0	5
adra2db	OR13F1	ortholog_many2many	0	5
adra2db	OR56A1	ortholog_many2many	0	5
adra2db	OR56A3	ortholog_many2many	0	5
adra2db	OR56A4	ortholog_many2many	0	5
adra2db	OR56A5	ortholog_many2many	0	5
adrb1	ADRB1	ortholog_one2one	1	1
adrb2a	ADRB2	ortholog_one2many	1	1
adrb2b	ADRB2	ortholog_one2many	1	1
adrb3a	ADRB3	ortholog_one2many	1	1
adrm1	ADRM1	ortholog_one2one	1	1
adsl	ADSL	ortholog_one2one	1	1
aebp2	AEBP2	ortholog_one2one	1	1
afap1l1a	AFAP1L1	ortholog_one2many	1	1
afap1l1b	AFAP1L1	ortholog_one2many	1	1
afg3l2	AFG3L2	ortholog_one2one	1	1
afmid	AFMID	ortholog_one2one	1	1
aftpha	AFTPH	ortholog_one2many	0	1
aga	AGA	ortholog_one2one	1	1
agap2	AGAP2	ortholog_one2one	1	1
agbl2	AGBL2	ortholog_one2one	0	1
agbl4	AGBL4	ortholog_one2one	1	1
agbl5	AGBL5	ortholog_one2one	1	1
agfg1a	AGFG1	ortholog_one2many	1	1
agfg1b	AGFG1	ortholog_one2many	0	1
aggf1	AGGF1	ortholog_one2one	1	1
agk	AGK	ortholog_one2one	1	1
agla	AGL	ortholog_one2many	1	1
agmat	AGMAT	ortholog_one2one	1	1
agmo	AGMO	ortholog_one2one	1	1
ago2	AGO2	ortholog_one2one	1	1
ago3b	AGO3	ortholog_one2many	1	1
ago4	AGO4	ortholog_one2one	1	1
agpat2	AGPAT2	ortholog_one2one	1	1
agpat3	AGPAT3	ortholog_one2one	1	1
agpat4	AGPAT4	ortholog_one2one	1	1
agpat5	AGPAT5	ortholog_one2one	1	1
agps	AGPS	ortholog_one2one	1	1
agr2	AGR2	ortholog_one2one	1	1
agrn	AGRN	ortholog_one2one	1	1
agt	AGT	ortholog_one2one	0	1
agtpbp1	AGTPBP1	ortholog_one2one	1	1
agtr2	AGTR2	ortholog_one2one	1	1
agtrap	AGTRAP	ortholog_one2one	1	1
agxt2	AGXT2	ortholog_one2one	1	1
agxta	AGXT	ortholog_one2many	1	1
agxtb	AGXT	ortholog_one2many	1	1
ahcy	AHCY	ortholog_one2one	1	1
ahcyl1	AHCYL1	ortholog_one2one	1	1
ahi1	AHI1	ortholog_one2one	0	1
ahr1a	AHR	ortholog_one2one	0	1
ahrra	AHRR	ortholog_one2many	0	1
ahrrb	AHRR	ortholog_one2many	0	1
ahsa1a	AHSA1	ortholog_one2many	1	1
ahsa1b	AHSA1	ortholog_one2many	1	1
aida	AIDA	ortholog_one2one	1	1
aif1l	AIF1L	ortholog_one2one	1	1
aifm1	AIFM1	ortholog_one2one	1	1
aifm2	AIFM2	ortholog_one2one	1	1
aifm3	AIFM3	ortholog_one2one	1	1
aimp2	AIMP2	ortholog_one2one	1	1
aip	AIP	ortholog_one2one	1	1
aire	AIRE	ortholog_one2one	0	1
ak1	AK1	ortholog_one2one	1	1
ak2	AK2	ortholog_one2one	1	1
ak3	AK3	ortholog_one2one	1	1
ak4	AK4	ortholog_one2many	1	2
ak4	AK4P3	ortholog_one2many	1	2
ak5	AK5	ortholog_one2one	1	1
ak7a	AK7	ortholog_one2many	0	1
ak7b	AK7	ortholog_one2many	1	1
akap12b	AKAP12	ortholog_one2many	0	1
akap17a	AKAP17A	ortholog_one2one	1	1
akap1b	AKAP1	ortholog_one2one	1	1
akap8l	AKAP8L	ortholog_one2one	0	1
akip1	AKIP1	ortholog_one2one	0	1
akirin1	AKIRIN1	ortholog_one2one	1	1
akirin2	AKIRIN2	ortholog_one2one	1	1
akr1a1a	AKR1B10	ortholog_many2many	0	9
akr1a1a	AKR1B15	ortholog_many2many	0	9
akr1a1a	AKR1C1	ortholog_many2many	0	9
akr1a1a	AKR1C2	ortholog_many2many	0	9
akr1a1a	AKR1C3	ortholog_many2many	0	9
akr1a1a	AKR1C4	ortholog_many2many	0	9
akr1a1a	AKR1C8	ortholog_many2many	0	9
akr1a1a	AKR7A2	ortholog_many2many	0	9
akr1a1a	AKR7A3	ortholog_many2many	0	9
akr1a1b	AKR1A1	ortholog_one2one	1	1
akr7a3	AKR7L	ortholog_one2one	1	1
akt1	AKT1	ortholog_one2many	1	1
akt2	AKT2	ortholog_one2many	0	1
akt2l	AKT2	ortholog_one2many	1	1
akt3a	AKT3	ortholog_one2one	1	1
aktip	AKTIP	ortholog_one2one	1	1
alad	ALAD	ortholog_one2one	1	1
alas1	ALAS1	ortholog_one2one	1	1
alas2	ALAS2	ortholog_one2one	0	1
alcama	ALCAM	ortholog_one2many	1	1
alcamb	ALCAM	ortholog_one2many	0	1
aldh16a1	ALDH16A1	ortholog_one2one	0	1
aldh1a2	ALDH1A2	ortholog_one2one	1	1
aldh1a3	ALDH1A3	ortholog_one2one	1	1
aldh1l1	ALDH1L1	ortholog_one2one	1	1
aldh2.1	ALDH2	ortholog_one2many	1	1
aldh2.2	ALDH2	ortholog_one2many	0	1
aldh3a2a	ALDH1B1	ortholog_many2many	0	3
aldh3a2a	ALDH3A1	ortholog_many2many	1	3
aldh3a2a	ALDH3B1	ortholog_many2many	0	3
aldh3a2b	ALDH1B1	ortholog_many2many	0	3
aldh3a2b	ALDH3A1	ortholog_many2many	0	3
aldh3a2b	ALDH3B1	ortholog_many2many	0	3
aldh3b1	ALDH3B2	ortholog_one2one	0	1
aldh4a1	ALDH4A1	ortholog_one2one	1	1
aldh5a1	ALDH5A1	ortholog_one2one	1	1
aldh6a1	ALDH6A1	ortholog_one2one	1	1
aldh7a1	ALDH7A1	ortholog_one2one	1	1
aldh8a1	ALDH8A1	ortholog_one2one	1	1
aldh9a1a.1	ALDH9A1	ortholog_one2many	1	1
aldh9a1a.2	ALDH9A1	ortholog_one2many	1	1
aldh9a1b	ALDH1B1	ortholog_many2many	0	3
aldh9a1b	ALDH3A1	ortholog_many2many	0	3
aldh9a1b	ALDH3B1	ortholog_many2many	0	3
aldoaa	ALDOA	ortholog_one2many	1	1
aldoab	ALDOA	ortholog_one2many	1	1
aldob	ALDOB	ortholog_one2one	1	1
aldoca	ALDOC	ortholog_one2one	1	1
alg1	ALG1	ortholog_one2many	1	2
alg1	ALG1L2	ortholog_one2many	1	2
alg11	ALG11	ortholog_one2one	1	1
alg12	ALG12	ortholog_one2one	1	1
alg13	ALG13	ortholog_one2one	0	1
alg14	ALG14	ortholog_one2one	1	1
alg2	ALG2	ortholog_one2one	1	1
alg3	ALG3	ortholog_one2one	1	1
alg5	ALG5	ortholog_one2one	1	1
alg6	ALG6	ortholog_one2one	1	1
alg8	ALG8	ortholog_one2one	1	1
alg9	ALG9	ortholog_one2one	1	1
alkbh1	ALKBH1	ortholog_one2one	1	1
alkbh2	ALKBH2	ortholog_one2one	1	1
alkbh3	ALKBH3	ortholog_one2one	1	1
alkbh5	ALKBH5	ortholog_one2one	1	1
alkbh6	ALKBH6	ortholog_one2one	0	1
alkbh7	ALKBH7	ortholog_one2one	1	1
allc	ALLC	ortholog_one2one	1	1
alox12	ALOX12	ortholog_one2one	0	1
alox5a	ALOX5	ortholog_one2many	1	1
alox5ap	ALOX5AP	ortholog_one2one	1	1
alox5b.2	ALOX5	ortholog_one2many	0	1
alox5b.3	ALOX5	ortholog_one2many	0	1
alpi.2	ALPG	ortholog_one2many	1	3
alpi.2	ALPI	ortholog_one2many	1	3
alpi.2	ALPP	ortholog_one2many	1	3
alpl	ALPL	ortholog_one2one	1	1
alx1	ALX1	ortholog_one2one	1	1
alx4b	ALX4	ortholog_one2many	1	1
amacr	AMACR	ortholog_one2one	1	1
ambp	AMBP	ortholog_one2one	0	1
ambra1a	AMBRA1	ortholog_one2many	1	1
ambra1b	AMBRA1	ortholog_one2many	1	1
amd1	AMD1	ortholog_one2one	1	1
amdhd1	AMDHD1	ortholog_one2one	1	1
amdhd2	AMDHD2	ortholog_one2one	1	1
amer2	AMER2	ortholog_one2one	1	1
amh	AMH	ortholog_one2one	0	1
ammecr1	AMMECR1	ortholog_one2one	1	1
amn1	AMN1	ortholog_one2one	0	1
amotl2a	AMOTL2	ortholog_one2many	1	1
amotl2b	AMOTL2	ortholog_one2many	0	1
ampd1	AMPD1	ortholog_one2one	1	1
ampd3b	AMPD3	ortholog_one2many	1	1
amph	AMPH	ortholog_one2one	1	1
amt	AMT	ortholog_one2one	1	1
anapc10	ANAPC10	ortholog_one2one	1	1
anapc11	ANAPC11	ortholog_one2one	1	1
anapc13	ANAPC13	ortholog_one2one	1	1
anapc15	ANAPC15	ortholog_one2one	1	1
anapc16	ANAPC16	ortholog_one2one	1	1
anapc2	ANAPC2	ortholog_one2one	1	1
anapc4	ANAPC4	ortholog_one2one	1	1
anapc5	ANAPC5	ortholog_one2one	1	1
anapc7	ANAPC7	ortholog_one2one	1	1
angel2	ANGEL2	ortholog_one2one	1	1
angpt1	ANGPT1	ortholog_one2one	1	1
angpt2a	ANGPT2	ortholog_one2one	1	1
angptl1a	ANGPTL1	ortholog_one2many	1	1
angptl2a	ANGPTL2	ortholog_one2many	1	1
angptl2b	ANGPTL2	ortholog_one2many	1	1
angptl3	ANGPTL3	ortholog_one2one	1	1
angptl4	ANGPTL4	ortholog_one2one	1	1
angptl6	ANGPTL6	ortholog_one2one	1	1
angptl7	ANGPTL7	ortholog_one2many	1	1
ank1a	ANK1	ortholog_one2many	1	1
ank2b	ANK2	ortholog_one2one	0	1
ankar	ANKAR	ortholog_one2one	1	1
ankdd1a	ANKDD1A	ortholog_one2one	1	1
ankef1a	ANKEF1	ortholog_one2many	1	1
ankfy1	ANKFY1	ortholog_one2one	1	1
ankha	ANKH	ortholog_one2many	1	1
ankhb	ANKH	ortholog_one2many	1	1
ankhd1	ANKHD1	ortholog_one2one	1	1
ankk1	ANKK1	ortholog_one2one	1	1
ankle2	ANKLE2	ortholog_one2one	1	1
ankmy2a	ANKMY2	ortholog_one2many	1	1
ankra2	ANKRA2	ortholog_one2one	1	1
ankrd10a	ANKRD10	ortholog_one2many	1	1
ankrd10b	ANKRD10	ortholog_one2many	0	1
ankrd12	ANKRD12	ortholog_one2one	1	1
ankrd13a	ANKRD13A	ortholog_one2one	1	1
ankrd13b	ANKRD13B	ortholog_one2one	1	1
ankrd13c	ANKRD13C	ortholog_one2one	1	1
ankrd16	ANKRD16	ortholog_one2one	1	1
ankrd1b	ANKRD1	ortholog_one2many	1	1
ankrd22	ANKRD22	ortholog_one2one	1	1
ankrd29	ANKRD29	ortholog_one2one	1	1
ankrd34bb	ANKRD34B	ortholog_one2many	1	1
ankrd37	ANKRD37	ortholog_one2one	1	1
ankrd39	ANKRD39	ortholog_one2one	0	1
ankrd45	ANKRD45	ortholog_one2one	0	1
ankrd46b	ANKRD46	ortholog_one2many	1	1
ankrd49	ANKRD49	ortholog_one2one	1	1
ankrd52a	ANKRD52	ortholog_one2one	1	1
ankrd54	ANKRD54	ortholog_one2one	1	1
ankrd6b	ANKRD6	ortholog_one2one	1	1
ankrd9	ANKRD9	ortholog_one2one	1	1
anks1b	ANKS1B	ortholog_one2one	1	1
anks3	ANKS3	ortholog_one2one	1	1
anks4b	ANKS4B	ortholog_one2one	1	1
anln	ANLN	ortholog_one2one	0	1
ano10a	ANO10	ortholog_one2one	1	1
ano5b	ANO5	ortholog_one2many	1	1
ano9a	ANO9	ortholog_one2many	0	1
anos1a	ANOS1	ortholog_one2many	1	1
anp32a	ANP32A	ortholog_one2many	1	2
anp32a	ANP32D	ortholog_one2many	1	2
anp32b	ANP32B	ortholog_one2one	1	1
anp32e	ANP32E	ortholog_one2one	1	1
anpepa	ANPEP	ortholog_one2many	1	1
antxr2a	ANTXR2	ortholog_one2many	1	1
antxr2b	ANTXR2	ortholog_one2many	1	1
anxa11a	ANXA11	ortholog_one2many	1	1
anxa11b	ANXA11	ortholog_one2many	1	1
anxa13	ANXA8	ortholog_many2many	0	3
anxa13	ANXA8L1	ortholog_many2many	0	3
anxa13	ANXA9	ortholog_many2many	0	3
anxa13l	ANXA13	ortholog_many2many	1	4
anxa13l	ANXA8	ortholog_many2many	0	4
anxa13l	ANXA8L1	ortholog_many2many	0	4
anxa13l	ANXA9	ortholog_many2many	0	4
anxa1a	ANXA1	ortholog_one2many	1	1
anxa1b	ANXA1	ortholog_one2many	0	1
anxa1c	ANXA1	ortholog_one2many	0	1
anxa2a	ANXA2	ortholog_one2many	1	1
anxa2b	ANXA2	ortholog_one2many	0	1
anxa3a	ANXA3	ortholog_one2many	1	1
anxa3b	ANXA3	ortholog_one2many	0	1
anxa4	ANXA4	ortholog_one2one	1	1
anxa5a	ANXA5	ortholog_one2many	0	1
anxa5b	ANXA5	ortholog_one2many	0	1
anxa6	ANXA6	ortholog_one2one	1	1
aoc1	AOC1	ortholog_one2one	1	1
aoc2	AOC2	ortholog_one2many	1	2
aoc2	AOC3	ortholog_one2many	1	2
aox6	AOX1	ortholog_one2one	0	1
ap1b1	AP1B1	ortholog_one2one	1	1
ap1g1	AP1G1	ortholog_one2one	1	1
ap1g2	AP1G2	ortholog_one2one	1	1
ap1m2	AP1M2	ortholog_one2many	1	1
ap1s2	AP1S2	ortholog_one2one	0	1
ap1s3a	AP1S3	ortholog_one2many	1	1
ap1s3b	AP1S3	ortholog_one2many	0	1
ap2b1	AP2B1	ortholog_one2one	1	1
ap2m1a	AP2M1	ortholog_one2many	1	1
ap2m1b	AP2M1	ortholog_one2many	1	1
ap2s1	AP2S1	ortholog_one2one	1	1
ap3d1	AP3D1	ortholog_one2one	1	1
ap3m1	AP3M1	ortholog_one2one	1	1
ap3m2	AP3M2	ortholog_one2one	1	1
ap3s2	AP3S2	ortholog_one2one	1	1
ap4b1	AP4B1	ortholog_one2one	1	1
ap4m1	AP4M1	ortholog_one2one	1	1
ap4s1	AP4S1	ortholog_one2one	1	1
ap5m1	AP5M1	ortholog_one2one	1	1
ap5s1	AP5S1	ortholog_one2one	0	1
apaf1	APAF1	ortholog_one2one	1	1
apbb1ip	APBB1IP	ortholog_one2one	1	1
apc	APC	ortholog_one2one	1	1
apeh	APEH	ortholog_one2one	1	1
apex1	APEX1	ortholog_one2one	1	1
apex2	APEX2	ortholog_one2one	1	1
aph1b	APH1B	ortholog_one2one	1	1
api5	API5	ortholog_one2one	1	1
apip	APIP	ortholog_one2one	1	1
apln	APLN	ortholog_one2one	1	1
aplp2	APLP2	ortholog_one2one	1	1
apmap	APMAP	ortholog_one2one	1	1
apoa1a	APOA1	ortholog_one2many	0	1
apoa1b	APOA1	ortholog_one2many	0	1
apobb.1	APOB	ortholog_one2many	0	1
apobec2a	APOBEC2	ortholog_one2many	1	1
apobec2b	APOBEC2	ortholog_one2many	1	1
apoda.1	APOD	ortholog_one2many	0	1
apoda.2	APOD	ortholog_one2many	1	1
apodb	APOD	ortholog_one2many	1	1
apoea	APOE	ortholog_one2many	0	1
apoeb	APOE	ortholog_one2many	0	1
apol1	APOLD1	ortholog_one2many	0	1
apom	ORM1	ortholog_one2many	0	2
apom	ORM2	ortholog_one2many	0	2
apoob	APOO	ortholog_one2many	1	1
apool	APOOL	ortholog_one2one	0	1
appa	APP	ortholog_one2many	0	1
appb	APP	ortholog_one2many	1	1
appbp2	APPBP2	ortholog_one2one	1	1
appl1	APPL1	ortholog_one2one	1	1
appl2	TUBGCP6	ortholog_one2one	0	1
aprt	APRT	ortholog_one2one	1	1
aptx	APTX	ortholog_one2one	1	1
aqp10a	AQP10	ortholog_many2many	0	4
aqp10a	AQP5	ortholog_many2many	0	4
aqp10a	AQP6	ortholog_many2many	0	4
aqp10a	AQP9	ortholog_many2many	0	4
aqp10b	AQP10	ortholog_many2many	1	4
aqp10b	AQP5	ortholog_many2many	0	4
aqp10b	AQP6	ortholog_many2many	0	4
aqp10b	AQP9	ortholog_many2many	0	4
aqp12	AQP12A	ortholog_one2many	0	2
aqp12	AQP12B	ortholog_one2many	0	2
